Stimulus,N,Raw_Mean,BLUP,condition
Abschilgung,33,6.79689708466793,6.84917086424402,pseudo_only
Abschlam,28,6.81703578391022,6.82372840491327,pseudo_only
Abschlehlriebst,38,7.0907879299206,7.04587415736244,pseudo_only
Abschlempnaul,38,6.96461584779168,6.98758714012357,pseudo_only
Abschmeft,36,6.64060179534322,6.72420272141864,pseudo_only
Abschmift,36,6.8084568907901,6.79732558566149,pseudo_only
Abschmirsigkeit,34,7.09733956077826,7.02626850641773,pseudo_only
Abschnack,22,7.0791032379799,7.02929992815855,pseudo_only
Abschnackfuhr,35,6.94418637068481,6.93047225705062,pseudo_only
Abschuldslorenkeit,35,7.13305383795083,7.15728534076796,pseudo_only
Abschutsibung,33,6.93381152978304,6.89821488440452,pseudo_only
Abschändung,18,7.0964568352574,7.05013984119038,pseudo_only
Absehrgiellager,38,6.91902290306523,6.93490148929705,pseudo_only
Absehstuterrigst,40,6.89815229499865,6.90150692238893,pseudo_only
Abseinenfe,38,6.70720166360496,6.71193905678911,pseudo_only
Abselbasafees,41,6.66039842007824,6.68039180131743,pseudo_only
Absennernattung,36,7.05363558614394,7.02070524824142,pseudo_only
Abser,36,6.6099995638148,6.62252183036627,pseudo_only
Abserbare,39,6.7733075326755,6.77043160669139,pseudo_only
Abserbeite,38,6.91997887975418,6.87627937004063,pseudo_only
Absergockte,43,6.80530220114117,6.80983420384913,pseudo_only
Absieftung,32,6.89681079258301,6.97009835213488,pseudo_only
Absiewegung,38,6.97757041764975,6.98115866654961,pseudo_only
Absifreifhaver,41,6.62824001764263,6.68816003687641,pseudo_only
Absing,37,6.74017406007666,6.78816718100646,pseudo_only
Absis,30,6.67148995906421,6.67452263167333,pseudo_only
Absistaftspovessar,37,6.78294280210992,6.82472926896282,pseudo_only
Abspeadugafe,41,6.58804684292339,6.61839967385489,pseudo_only
Absperurfe,29,7.07200151763334,7.05459909146754,pseudo_only
Abspraftsstelle,33,7.24399239784064,7.19963264370648,pseudo_only
Abspre,35,6.65477665967652,6.66977163315726,pseudo_only
Absprendung,30,7.09935598489064,7.04795908661488,pseudo_only
Absprich,26,7.11030598841496,7.03648139059088,pseudo_only
Absprieer,42,6.63901737334024,6.66438737815812,pseudo_only
Abspördige,36,6.91354257380027,6.89395637919819,pseudo_only
Abspördigkeit,36,6.75376646126775,6.77565543865901,pseudo_only
Abstagsseudung,40,7.06597608079968,7.10292980653542,pseudo_only
Abstagter,36,6.83350785772866,6.83233283273297,pseudo_only
Abstappung,21,7.03246825194332,6.98869034221768,pseudo_only
